#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
1,Mitch Holmberg(RW),Spokane Chiefs,72,62,56,118,1.64,25,35
2,Todd Fiddler(LW),totals,66,50,48,98,1.48,22,1
,,Moose Jaw Warriors,14,2,8,10,0.71,6,-8
,,Prince George Cougars,52,48,40,88,1.69,16,9
3,Joshua Winquist(LW),Everett Silvertips,67,47,46,93,1.39,44,19
4,Curtis Valk(C),Medicine Hat Tigers,72,47,45,92,1.28,36,33
5,Brady Brassart(C/RW),Calgary Hitmen,70,35,50,85,1.21,94,11
6,Trevor Cox(LW),Medicine Hat Tigers,70,25,57,82,1.17,46,42
7,Mike Aviani(C),Spokane Chiefs,69,38,43,81,1.17,116,29
8,Luke Philp(C),Kootenay Ice,71,31,46,77,1.08,31,2
9,Nathan Burns(LW/C),totals,68,27,50,77,1.13,58,5
,,Saskatoon Blades,40,16,27,43,1.08,40,5
,,Swift Current Broncos,28,11,23,34,1.21,18,0
10,Dyson Stevenson(W/C),Regina Pats,66,38,38,76,1.15,121,23
11,Cole Sanford(RW/C),Medicine Hat Tigers,72,33,40,73,1.01,55,47
12,Boston Leier(LW),totals,65,33,39,72,1.11,55,5
,,Medicine Hat Tigers,4,2,0,2,0.5,0,1
,,Regina Pats,61,31,39,70,1.15,55,4
13,Collin Valcourt(LW),totals,71,28,44,72,1.01,90,8
,,Saskatoon Blades,36,14,24,38,1.06,55,4
,,Prince Albert Raiders,35,14,20,34,0.97,35,4
14,Colby Cave(C/LW),Swift Current Broncos,72,33,37,70,0.97,30,20
15,Brandon Magee(C/RW),Victoria Royals,65,25,42,67,1.03,52,30
16,Jay Merkley(C),Swift Current Broncos,72,34,32,66,0.92,16,11
17,Rhyse Dieno(RW/C),Red Deer Rebels,65,25,41,66,1.02,36,2
18,Carter Popoff(C),Vancouver Giants,72,13,51,64,0.89,34,-12
19,Cain Franson(LW/C),Vancouver Giants,66,30,33,63,0.95,44,0
20,Reid Gow(D),Spokane Chiefs,65,6,56,62,0.95,77,31
21,Dakota Conroy(RW),Prince Albert Raiders,66,30,31,61,0.92,24,-2
22,Cody Corbett(D),Edmonton Oil Kings,65,17,44,61,0.94,37,19
23,Klarc Wilson(RW),Prince George Cougars,72,27,33,60,0.83,95,-8
24,Tim McGauley(C),Brandon Wheat Kings,68,21,39,60,0.88,21,-5
25,Ivan Nikolishin(C/LW),Everett Silvertips,72,18,41,59,0.82,16,-4
26,Jason Fram(D),Spokane Chiefs,72,6,51,57,0.79,34,26
27,Brian Williams(C),Tri-City Americans,72,36,20,56,0.78,34,-3
28,Axel Blomqvist(LW/RW),totals,65,24,32,56,0.86,24,14
,,Lethbridge Hurricanes,19,8,5,13,0.68,10,-10
,,Victoria Royals,46,16,27,43,0.93,14,24
29,Zach Franko(LW),totals,67,21,35,56,0.84,14,24
,,Kelowna Rockets,39,12,23,35,0.9,10,15
,,Kootenay Ice,28,9,12,21,0.75,4,9
30,Reid Petryk(C/RW),totals,63,17,39,56,0.89,56,29
,,Everett Silvertips,1,0,0,0,0,5,0
,,Edmonton Oil Kings,62,17,39,56,0.9,51,29
31,Jack Rodewald(RW),Moose Jaw Warriors,58,28,27,55,0.95,56,-11
32,Tyson Baillie(C/RW),Kelowna Rockets,56,22,33,55,0.98,53,19
33,Sam Fioretti(C),Moose Jaw Warriors,65,20,35,55,0.85,88,-30
34,Rihards Bukarts(LW/RW),Brandon Wheat Kings,65,28,26,54,0.83,50,2
35,Pavel Padakin(RW),Calgary Hitmen,66,27,27,54,0.82,59,35
36,Ben Walker(C/RW),Victoria Royals,71,24,30,54,0.76,61,17
37,Aspen Sterzer(LW),totals,70,29,24,53,0.76,76,-3
,,Kamloops Blazers,40,17,15,32,0.8,51,1
,,Red Deer Rebels,30,12,9,21,0.7,25,-4
38,Roberts Lipsbergs(W/C),Seattle Thunderbirds,68,33,19,52,0.76,37,1
39,Miles Koules(C/RW),Medicine Hat Tigers,70,25,26,51,0.73,34,3
40,Tanner Eberle(LW/C),Moose Jaw Warriors,70,22,29,51,0.73,148,-23
41,Sawyer Lange(D),Prince Albert Raiders,71,7,44,51,0.72,30,-7
42,Riley Sheen(LW/D),totals,61,19,30,49,0.8,72,-26
,,Seattle Thunderbirds,12,3,5,8,0.67,14,3
,,Lethbridge Hurricanes,49,16,25,41,0.84,58,-29
43,Matthew Pufahl(D),Everett Silvertips,62,15,34,49,0.79,54,6
44,Connor Rankin(C/LW),totals,64,20,28,48,0.75,32,0
,,Tri-City Americans,41,13,20,33,0.8,26,-4
,,Calgary Hitmen,23,7,8,15,0.65,6,4
45,Jagger Dirk(D),Kootenay Ice,69,10,38,48,0.7,50,2
46,Justin Hickman(RW/C),Seattle Thunderbirds,67,22,24,46,0.69,154,7
101,Jordan Tkatch(C),Prince George Cougars,72,16,30,46,0.64,42,-12
102,Joel Hamilton(C/LW),Vancouver Giants,70,13,33,46,0.66,40,5
103,Dylan Bredo(D/C),Medicine Hat Tigers,72,4,42,46,0.64,51,33
104,Matt Revel(C),totals,73,15,30,45,0.62,18,-27
,,Saskatoon Blades,43,9,16,25,0.58,14,-18
,,Kamloops Blazers,30,6,14,20,0.67,4,-9
105,Josh Connolly(D),Kamloops Blazers,72,11,34,45,0.63,34,-35
106,Reid Gardiner(RW/C),Prince Albert Raiders,70,22,22,44,0.63,39,2
107,Alex Roach(D),Calgary Hitmen,56,12,32,44,0.79,59,22
108,Connor Gay(RW),Regina Pats,61,19,24,43,0.7,25,13
109,Manraj Singh Hayer(C),Everett Silvertips,54,15,28,43,0.8,16,11
110,Brady Ramsay(RW/C),Lethbridge Hurricanes,72,15,27,42,0.58,142,-55
111,Jayden Hart(C/RW),Prince Albert Raiders,59,14,28,42,0.71,66,-9
112,Ashton Sautner(D),Edmonton Oil Kings,72,8,34,42,0.58,26,59
113,Matt Bellerive(RW),totals,60,18,23,41,0.68,39,-11
,,Red Deer Rebels,31,9,13,22,0.71,25,1
,,Kamloops Blazers,29,9,10,19,0.66,14,-12
114,Dryden Hunt(LW),Regina Pats,62,21,19,40,0.65,64,-3
115,Beau McCue(RW),Tri-City Americans,72,20,20,40,0.56,26,-11
116,Connor Sanvido(RW/C),totals,68,16,24,40,0.59,37,1
,,Swift Current Broncos,40,12,14,26,0.65,21,13
,,Saskatoon Blades,28,4,10,14,0.5,16,-12
117,Parker Bowles(LW/C),Tri-City Americans,39,15,25,40,1.03,24,1
118,Adam Henry(D),totals,70,7,32,39,0.56,42,-19
,,Lethbridge Hurricanes,6,0,1,1,0.17,4,-5
,,Seattle Thunderbirds,64,7,31,38,0.59,38,-14
119,Carson Stadnyk(RW/C),Everett Silvertips,72,23,15,38,0.53,29,-7
120,Philip Tot(LW),Tri-City Americans,51,15,23,38,0.75,20,5
121,Russell Maxwell(C),totals,71,15,22,37,0.52,71,-18
,,Lethbridge Hurricanes,42,10,17,27,0.64,40,-24
,,Seattle Thunderbirds,29,5,5,10,0.34,31,6
